timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,URL,Latency
1.73E+12,988,RegisterUser,200,OK,ChatAppProd 1-2,text,TRUE,https://chatapp-userservice.orangecoast-52406e6a.southindia.azurecontainerapps.io/registerUser,987
1.73E+12,980,RegisterUser,200,OK,ChatAppProd 1-3,text,TRUE,https://chatapp-userservice.orangecoast-52406e6a.southindia.azurecontainerapps.io/registerUser,980
1.73E+12,785,RegisterUser,200,OK,ChatAppProd 1-7,text,TRUE,https://chatapp-userservice.orangecoast-52406e6a.southindia.azurecontainerapps.io/registerUser,785
1.73E+12,1180,RegisterUser,200,OK,ChatAppProd 1-4,text,TRUE,https://chatapp-userservice.orangecoast-52406e6a.southindia.azurecontainerapps.io/registerUser,1180
1.73E+12,1083,RegisterUser,200,OK,ChatAppProd 1-5,text,TRUE,https://chatapp-userservice.orangecoast-52406e6a.southindia.azurecontainerapps.io/registerUser,1083
1.73E+12,106,DeleteUser,400,Bad Request,ChatAppProd 1-5,text,FALSE,https://chatapp-userservice.orangecoast-52406e6a.southindia.azurecontainerapps.io/user,105
1.73E+12,97,SendMessages,200,OK,ChatAppProd 1-14,text,TRUE,https://chatapp-messageservice.greengrass-40e110cf.southindia.azurecontainerapps.io/message,97
1.73E+12,126,GetCurrentUserDetails,400,Bad Request,ChatAppProd 1-8,text,FALSE,https://chatapp-userservice.orangecoast-52406e6a.southindia.azurecontainerapps.io/currentUser/user8,125
1.73E+12,87,GetUsers,200,OK,ChatAppProd 1-16,text,TRUE,https://chatapp-userservice.orangecoast-52406e6a.southindia.azurecontainerapps.io/user,87
1.73E+12,120,DeleteUser,400,Bad Request,ChatAppProd 1-8,text,FALSE,https://chatapp-userservice.orangecoast-52406e6a.southindia.azurecontainerapps.io/user,120
